sp_num,sp_stat,sp_rate_id,sp_route,sp_vac_ind
122,A,844,MAIL,0
126,A,844,MAIL,0
128,A,890,MAIL,0
137,A,843,MAIL,0
139,A,841,MAIL,0
153,A,844,MAIL,0
167,A,902,MAIL,0
172,A,844,MAIL,0
175,A,844,MAIL,0
177,A,844,MAIL,0
179,A,902,MAIL,0
180,A,844,MAIL,0
197,A,902,MAIL,0
210,A,904,MAIL,49608
231,A,844,MAIL,0
251,A,844,MAIL,0
263,A,902,MAIL,0
264,A,841,MAIL,0
272,A,844,MAIL,0
278,A,433,INTERNET,0
322,A,845,MAIL,0
330,A,844,MAIL,0
342,A,844,MAIL,0
351,A,841,MAIL,0
363,A,844,MAIL,0
368,A,844,MAIL,0
378,A,809,MAIL,0
380,A,749,601,0
389,A,844,MAIL,0
423,A,843,MAIL,0
468,A,844,MAIL,0
471,A,902,MAIL,0
479,A,809,MAIL,0
504,A,844,MAIL,0
515,A,902,MAIL,0
516,A,809,MAIL,0
523,A,844,MAIL,0
544,A,844,MAIL,0
547,A,882,MAIL,0
582,A,844,MAIL,0
585,A,845,MAIL,0
587,A,841,MAIL,0
634,A,844,MAIL,0
652,A,841,MAIL,0
695,A,844,MAIL,0
699,A,844,MAIL,0
707,A,844,MAIL,0
713,A,902,MAIL,0
719,A,843,MAIL,0
738,A,844,MAIL,0
795,A,843,MAIL,0
800,A,967,602,0
802,A,841,MAIL,0
807,A,844,MAIL,0
810,A,844,MAIL,0
814,A,829,MAIL,0
865,A,845,MAIL,0
875,A,902,MAIL,0
876,A,845,MAIL,0
904,A,902,MAIL,0
907,A,967,602,0
923,A,895,MAIL,0
928,A,904,MAIL,0
943,A,841,MAIL,0
949,A,841,MAIL,0
951,A,902,MAIL,0
953,A,844,MAIL,0
997,A,844,MAIL,0
1002,A,844,MAIL,0
1027,A,844,MAIL,0
1049,A,967,602,0
1098,A,844,MAIL,0
1110,A,844,MAIL,0
1112,A,843,MAIL,0
1141,A,902,MAIL,0
1144,A,843,MAIL,0
1155,A,845,MAIL,0
1156,A,844,MAIL,0
1158,A,895,MAIL,0
1160,A,904,MAIL,0
1162,A,842,MAIL,0
1190,A,842,MAIL,0
1216,A,844,MAIL,0
1219,A,844,MAIL,0
1241,A,437,INTERNET,0
1245,A,902,MAIL,0
1252,A,844,MAIL,0
1360,A,841,MAIL,0
1368,A,967,601,0
1378,A,841,MAIL,0
1383,A,844,MAIL,0
1384,A,844,MAIL,0
1391,A,967,602,0
1447,A,844,MAIL,0
1476,A,909,INTERNET,0
1483,A,843,MAIL,0
1495,A,844,MAIL,0
1501,A,844,MAIL,0
1516,A,433,INTERNET,0
1519,A,902,MAIL,0
1521,A,809,MAIL,0
1522,A,841,MAIL,0
1549,A,845,MAIL,0
1559,A,967,601,0
1567,A,844,MAIL,0
1576,A,844,MAIL,0
1586,A,904,MAIL,0
1598,A,841,MAIL,0
1607,A,841,MAIL,0
1618,A,844,MAIL,0
1623,A,895,MAIL,0
1628,A,809,MAIL,0
1634,A,844,MAIL,0
1638,A,749,601,49813
1643,A,844,MAIL,0
1646,A,844,MAIL,0
1649,A,844,MAIL,0
1657,A,902,MAIL,0
1676,A,844,MAIL,0
1677,A,967,602,0
1702,A,844,MAIL,0
1710,A,844,MAIL,0
1726,A,844,MAIL,0
1727,A,841,MAIL,0
1735,A,844,MAIL,0
1751,A,809,MAIL,0
1753,A,844,MAIL,0
1758,A,841,MAIL,0
1765,A,844,MAIL,0
1766,A,844,MAIL,0
1778,A,895,MAIL,0
1786,A,841,MAIL,0
1799,A,841,MAIL,0
1804,A,844,MAIL,0
1806,A,841,MAIL,0
1850,A,844,MAIL,0
1858,A,902,MAIL,0
1865,A,841,MAIL,0
1881,A,902,MAIL,0
1887,A,841,MAIL,0
1909,A,433,INTERNET,0
1923,A,844,MAIL,0
1947,A,1005,602,0
1952,A,844,MAIL,0
1956,A,844,MAIL,0
1960,A,841,MAIL,0
1972,A,844,MAIL,0
1978,A,895,MAIL,0
1984,A,895,MAIL,0
1993,A,844,MAIL,0
1994,A,895,MAIL,0
2000,A,433,INTERNET,0
2004,A,844,MAIL,0
2007,A,967,602,0
2019,A,844,MAIL,0
2025,A,843,MAIL,0
2029,A,844,MAIL,0
2035,A,843,MAIL,0
2057,A,844,MAIL,0
2066,A,844,MAIL,0
2075,A,842,MAIL,0
2104,A,902,MAIL,0
2106,A,749,601,0
2121,A,841,MAIL,0
2122,A,844,MAIL,0
2149,A,967,602,0
2162,A,902,MAIL,0
2175,A,844,MAIL,0
2185,A,843,MAIL,0
2219,A,844,MAIL,0
2222,A,845,MAIL,0
2234,A,841,MAIL,0
2244,A,844,MAIL,0
2258,A,844,MAIL,0
2259,A,1005,601,0
2267,A,844,MAIL,0
2285,A,844,MAIL,0
2293,A,844,MAIL,0
2313,A,841,MAIL,0
2315,A,1016,601,0
2317,A,809,MAIL,0
2326,A,841,MAIL,0
2338,A,809,MAIL,0
