 Rate.db Rowid, Rate.rr Step, Rate.rr Next Step, Rate.rr Desc, Rate.rr Online Desc, Rate.rr Edition, Rate.rr Issue, Rate.rr Length, Rate.rr Len Type, Rate.rr Zone, Rate.rr Del Meth, Rate.rr Allow Pc, Rate.rr Pay Meth, Rate.rr Easypay Meth, Rate.rr Act Ind, Rate.rr Inact Date, Rate.rr Ssm Allow, Rate.rr Taxable, Rate.rr Kiosk, Rate.rr Visible, Rate.rr Econtent Allow, Rate.rr Promo Gl Account, Rate.rr Abc Zone, Rate.rr New Grace Pol, Rate.rr New Warn, Rate.rr New Cc, Rate.rr New Stop, Rate.rr New Bal Max, Rate.rr Renew Bal Max, Rate.rr Renew Grace Pol, Rate.rr Renew Warn, Rate.rr Renew Cc, Rate.rr Renew Stop, Rate.rr Arrears1, Rate.rr Arrears1 Days, Rate.rr Arrears2, Rate.rr Arrears2 Days, Rate.rr Arrears3, Rate.rr Arrears3 Days, Rate.rr Renew1, Rate.rr Renew1 Days, Rate.rr Renew2, Rate.rr Renew2 Days, Rate.rr Renew3, Rate.rr Renew3 Days, Rate.rr Alt Issue, Rate.rr Alt Del Meth, Rate.rr Alt Abc Zone, Rate.rr Sun Rev Account, Rate.rr Mon Rev Account, Rate.rr Tue Rev Account, Rate.rr Wed Rev Account, Rate.rr Thu Rev Account, Rate.rr Fri Rev Account, Rate.rr Sat Rev Account, Sub Rate Id, Effective Date, Deliv Exp, Net, Full Rate, Sun Net, Mon Net, Tue Net, Wed Net, Thu Net, Fri Net, Sat Net, Act Fee
101,0,0,1 Year Subscription,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD01,C,Y,P,N,N,,N,N,N,N,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,3,N,14,N,28,Y,41,Y,21,Y,7,,N,0,,,,,,,,101,1/1/10,0,109,109,0,0,0.419231,0.419231,0.419231,0.419231,0.419231,0
102,1,412,SPECIAL-CD03,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD02,C,Y,P,N,N,8/7/25,N,N,N,N,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,102,1/1/10,0,99,99,0,0,0.380769,0.380769,0.380769,0.380769,0.380769,0
103,1,102,SPECIAL-CD03,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD03,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,103,1/1/10,0,89,89,0,0,0.342308,0.342308,0.342308,0.342308,0.342308,0
104,1,103,SPECIAL-CD04,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD04,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,104,1/1/10,0,78,78,0,0,0.3,0.3,0.3,0.3,0.3,0
105,1,104,SPECIAL-CD05,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD05,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,105,1/1/10,0,65,65,0,0,0.25,0.25,0.25,0.25,0.25,0
106,0,0,SPECIAL-CD06,SPECIAL-CD06,TJ,5D,1,Y,CD06,C,Y,P,N,N,7/31/18,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,106,1/1/10,0,55,55,0,0,0.211538,0.211538,0.211538,0.211538,0.211538,0
107,0,0,6-Month Subscription,THE JOURNAL 6 MONTH,TJ,5D,6,M,CD01,C,Y,P,N,N,,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,107,1/1/10,0,57.75,57.75,0,0,0.444231,0.444231,0.444231,0.444231,0.444231,0
108,0,0,6 MO ONLINE,6 MO ONLINE,TJ,5D,6,M,CD08,I,Y,P,N,N,12/4/15,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,108,1/1/10,0,52.5,52.5,0,0,0.403846,0.403846,0.403846,0.403846,0.403846,0
109,0,0,3-Month Subscription,THE JOURNAL 3 MONTH,TJ,5D,3,M,CD01,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,109,1/1/10,0,35.75,35.75,0,0,0.55,0.55,0.55,0.55,0.55,0
110,0,0,3 MO CARRIER DEL,THE JOURNAL 3 MONTH,TJ,5D,3,M,CD10,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,110,1/1/10,0,32.5,32.5,0,0,0.5,0.5,0.5,0.5,0.5,0
