sub_rate_id,edition,description
101,TJ,THE JOURNAL 1 YEAR
102,TJ,THE JOURNAL 1 YEAR
103,TJ,THE JOURNAL 1 YEAR
104,TJ,THE JOURNAL 1 YEAR
105,TJ,THE JOURNAL 1 YEAR
106,TJ,SPECIAL-CD06
107,TJ,THE JOURNAL 6 MONTH
108,TJ,6 MO ONLINE
109,TJ,THE JOURNAL 3 MONTH
110,TJ,THE JOURNAL 3 MONTH
111,TJ,THE JOURNAL 3 MONTH
112,TJ,THE JOURNAL 3 MONTH
113,TJ,THE JOURNAL 1 MONTH
114,TJ,THE JOURNAL 1 MONTH AUTO RENEW
115,TJ,THE JOURNAL 1 MONTH
116,TJ,THE JOURNAL 1 MONTH
117,TJ,EMPLOYEE 3MO
118,TJ,EMPLOYEE 6 MO
119,TJ,THE JOURNAL 1 YEAR
121,TJ,THE JOURNAL 3 MONTH
122,TJ,THE JOURNAL 3 MONTH
123,TJ,THE JOURNAL 6 MONTH
124,TJ,THE JOURNAL 6 MONTH
125,TJ,THE JOURNAL 1 YEAR
126,TJ,THE JOURNAL 1 YEAR
127,TJ,CARRIER COLLECT
128,TJ,THE JOURNAL 1 YEAR
129,TJ,THE JOURNAL 1 YEAR
130,TJ,THE JOURNAL 1 MONTH
131,TJ,THE JOURNAL 2 MONTH
132,TJ,THE JOURNAL 1 MONTH
133,TJ,THE JOURNAL 3 MONTH
134,TJ,THE JOURNAL 1 MONTH AUTO RENEW
135,TJ,3 MO INTERNET
136,TJ,PAYPAL INTERNET
137,TJ,THE JOURNAL 3 MONTH
138,TJ,THE JOURNAL 6 MONTH
139,TJ,THE JOURNAL 1 YEAR
140,TJ,THE JOURNAL 2 MONTH
141,ULL,UPSTATE LAKE LIVING 1 YEAR
142,ULL,UPSTATE LAKE LIVING 1 YEAR
143,ULL,UPSTATE LAKE LIVING 1 YEAR
144,TJ,THE JOURNAL 4 WEEK
145,TJ,ONE Week PURCHASE
151,TJ,THE JOURNAL 6 MONTH
149,TJ,THE JOURNAL 3 MONTH
150,TJ,THE JOURNAL 1 MONTH
152,TJ,THE JOURNAL 1 YEAR
153,TJ,Pay it Forward Promo
154,TJ,THE JOURNAL 1 WEEK AUTO RENEW
834,TJ,NOT FOR PUBLIC
893,TJ,NOT FOR PUBLIC
894,TJ,NOT FOR PUBLIC
895,TJ,NOT FOR PUBLIC - 1M 2 DAY MAIL
838,TJ,NOT FOR PUBLIC
839,TJ,NOT FOR PUBLIC
840,TJ,NOT FOR PUBLIC
885,TJ,THE JOURNAL 12 MONTH
888,TJ,THE JOURNAL 1 YEAR
886,TJ,THE JOURNAL 3 MONTH
887,TJ,THE JOURNAL 6 MONTH
889,TJ,THE JOURNAL 3 MONTH
890,TJ,THE JOURNAL 1 YEAR
844,TJ,THE JOURNAL 12 MONTH
841,TJ,THE JOURNAL 1 MONTH AUTO RENEW
845,TJ,The Journal 1 Year
842,TJ,THE JOURNAL 3 MONTH
843,TJ,THE JOURNAL 6 MONTH
804,TJ,THE JOURNAL 2 WEEK
807,TJ,THE JOURNAL 6 MONTH
882,TJ,THE JOURNAL 1 YEAR
763,TA,12 Months Mail Delivery--Outside of Tuscola County
764,TA,12 Months Mail Delivery--Outside of Tuscola County Senior Rate
1000,TJ,THE JOURNAL 1 YEAR
1001,TJ,THE JOURNAL 1 MONTH
1002,TJ,THE JOURNAL 3 MONTH
1003,TJ,THE JOURNAL 6 MONTH
1004,TJ,THE JOURNAL 1 WEEK AUTO RENEW
1005,TJ,THE JOURNAL 1 YEAR
1006,TJ,THE JOURNAL 1 YEAR
1007,TJ,THE JOURNAL 1 YEAR
1008,TJ,THE JOURNAL 1 MONTH
1009,TJ,THE JOURNAL 1 MONTH AUTO RENEW
1010,TJ,THE JOURNAL 1 MONTH AUTO RENEW
